,type,name,salary,score,contract,include,exclude,locked,points,i
26,team,Williams,13.2,90,,1.0,,False,743,4411
1,driver,Norris,28.6,155,,1.0,,False,743,4411
3,driver,Hamilton,25.8,140,,,,False,743,4411
11,driver,Sainz,14.6,192,,1.0,,False,743,4411
12,driver,Ocon,13.2,91,,,,False,743,4411
19,driver,Bortoleto,3.4,75,,,,False,743,4411
26,team,Williams,13.2,90,,1.0,,False,743,4290
1,driver,Norris,28.6,155,,1.0,,False,743,4290
3,driver,Hamilton,25.8,140,,,,False,743,4290
11,driver,Sainz,14.6,192,,1.0,,False,743,4290
12,driver,Ocon,13.2,91,,,,False,743,4290
19,driver,Bortoleto,3.4,75,,,,False,743,4290
26,team,Williams,13.2,90,,1.0,,False,743,4232
1,driver,Norris,28.6,155,,1.0,,False,743,4232
2,driver,Leclerc,27.2,144,,,,False,743,4232
11,driver,Sainz,14.6,192,,1.0,,False,743,4232
13,driver,Albon,11.8,87,,,,False,743,4232
19,driver,Bortoleto,3.4,75,,,,False,743,4232
26,team,Williams,13.2,90,,1.0,,False,743,4119
1,driver,Norris,28.6,155,,1.0,,False,743,4119
2,driver,Leclerc,27.2,144,,,,False,743,4119
11,driver,Sainz,14.6,192,,1.0,,False,743,4119
13,driver,Albon,11.8,87,,,,False,743,4119
19,driver,Bortoleto,3.4,75,,,,False,743,4119
26,team,Williams,13.2,90,,1.0,,False,743,4012
1,driver,Norris,28.6,155,,1.0,,False,743,4012
2,driver,Leclerc,27.2,144,,,,False,743,4012
11,driver,Sainz,14.6,192,,1.0,,False,743,4012
13,driver,Albon,11.8,87,,,,False,743,4012
19,driver,Bortoleto,3.4,75,,,,False,743,4012
26,team,Williams,13.2,90,,1.0,,False,743,3946
1,driver,Norris,28.6,155,,1.0,,False,743,3946
2,driver,Leclerc,27.2,144,,,,False,743,3946
11,driver,Sainz,14.6,192,,1.0,,False,743,3946
13,driver,Albon,11.8,87,,,,False,743,3946
19,driver,Bortoleto,3.4,75,,,,False,743,3946
26,team,Williams,13.2,90,,1.0,,False,743,3874
